asset_id,date,energy_kwh,availability_pct,avg_wind_speed_ms,irradiance_wm2,temperature_c,fault_code,fault_description
WT-001,2024-03-11,50723.2,95.1,12.7,,2.6,,
WT-001,2024-03-12,14985.9,91.9,8.0,,10.3,,
WT-001,2024-03-13,43287.3,87.8,13.3,,1.6,,
WT-001,2024-03-14,43929.0,87.4,12.1,,11.9,,
WT-001,2024-03-15,21022.1,93.4,8.8,,20.0,,
WT-001,2024-03-16,42004.2,75.8,13.1,,7.7,E-1003,Generator bearing vibration exceeds 8 mm/s RMS
WT-001,2024-03-17,1009.3,96.8,4.3,,6.9,,
WT-001,2024-03-18,8185.6,97.2,6.7,,5.6,,
WT-001,2024-03-19,25922.4,94.3,9.8,,1.2,,
WT-001,2024-03-20,5764.4,93.5,6.1,,10.8,,
WT-001,2024-03-21,13023.0,87.9,8.0,,11.1,,
WT-001,2024-03-22,14242.5,90.6,7.9,,8.4,,
WT-001,2024-03-23,39308.0,91.5,11.4,,12.5,,
WT-001,2024-03-24,21685.2,95.0,8.9,,10.6,,
WT-001,2024-03-25,35027.7,98.2,10.6,,3.0,,
WT-001,2024-03-26,14945.9,96.3,8.0,,6.7,,
WT-001,2024-03-27,10496.1,93.0,7.1,,5.5,,
WT-001,2024-03-28,41591.1,79.6,14.8,,6.4,E-5001,Transformer oil temperature warning — 85°C threshold reached
WT-001,2024-03-29,28900.3,100,9.9,,11.4,,
WT-001,2024-03-30,35090.9,94.2,10.9,,7.0,,
WT-001,2024-03-31,25379.2,94.1,9.6,,18.1,,
WT-001,2024-04-01,49655.2,96.9,11.8,,27.4,,
WT-001,2024-04-02,19528.4,97.1,8.5,,33.7,,
WT-001,2024-04-03,8274.8,96.3,6.8,,5.5,,
WT-001,2024-04-04,10382.9,90.3,7.3,,19.8,,
WT-001,2024-04-05,7193.9,94.8,6.5,,18.1,,
WT-001,2024-04-06,7469.9,98.4,6.5,,9.9,,
WT-001,2024-04-07,7721.2,92.7,6.6,,23.7,,
WT-001,2024-04-08,11925.4,90.2,7.7,,16.1,,
WT-001,2024-04-09,19933.8,95.4,8.8,,23.9,,
WT-001,2024-04-10,13354.9,90.9,7.8,,11.6,,
WT-001,2024-04-11,1222.9,88.8,4.5,,1.4,,
WT-001,2024-04-12,10471.1,95.9,7.2,,21.6,,
WT-001,2024-04-13,19049.9,97.6,8.4,,16.4,,
WT-001,2024-04-14,28588.0,96.3,9.8,,16.5,,
WT-001,2024-04-15,19004.2,95.5,8.5,,8.7,,
WT-001,2024-04-16,23251.9,92.6,9.2,,16.6,,
WT-001,2024-04-17,5855.8,99.3,6.0,,13.2,,
WT-001,2024-04-18,30345.8,97.4,9.9,,12.8,,
WT-001,2024-04-19,16197.6,93.5,8.4,,15.9,,
WT-001,2024-04-20,8145.9,92.9,6.8,,4.3,,
WT-001,2024-04-21,6766.4,93.4,6.5,,24.9,,
WT-001,2024-04-22,14289.5,95.7,7.8,,-2.1,,
WT-001,2024-04-23,31622.3,98.4,10.1,,22.0,,
WT-001,2024-04-24,10883.1,93.3,7.3,,1.1,,
WT-001,2024-04-25,32711.8,98.2,10.1,,7.0,,
WT-001,2024-04-26,3525.3,98.4,5.4,,13.1,,
WT-001,2024-04-27,9555.8,100,6.9,,10.5,,
WT-001,2024-04-28,4080.9,97.4,5.6,,15.9,,
WT-001,2024-04-29,22964.7,93.3,9.1,,6.8,,
WT-001,2024-04-30,22234.4,94.4,9.2,,12.6,,
WT-001,2024-05-01,15910.6,88.3,8.4,,20.5,,
WT-001,2024-05-02,10740.8,97.5,7.2,,1.7,,
WT-001,2024-05-03,5963.7,90.5,6.2,,13.2,,
WT-001,2024-05-04,10647.6,100,7.0,,14.3,,
WT-001,2024-05-05,20257.1,100,8.5,,25.4,,
WT-001,2024-05-06,4945.5,97.7,5.9,,14.7,,
WT-001,2024-05-07,19079.3,73.3,9.1,,14.2,E-1002,Rotor imbalance detected — blade pitch deviation >2°
WT-001,2024-05-08,5629.9,96.0,6.0,,26.5,,
WT-001,2024-05-09,18523.6,89.8,8.9,,19.5,,
WT-001,2024-05-10,22166.9,95.1,9.2,,23.4,,
WT-001,2024-05-12,20296.1,96.5,8.7,,27.3,,
WT-001,2024-05-13,14259.2,93.7,7.8,,20.2,,
WT-001,2024-05-14,12460.7,90.9,7.6,,12.0,,
WT-001,2024-05-15,24818.9,95.4,9.3,,3.7,,
WT-001,2024-05-16,2221.9,96.5,4.9,,11.8,,
WT-001,2024-05-17,8724.4,98.0,6.8,,24.3,,
WT-001,2024-05-18,27633.8,97.7,9.6,,12.8,,
WT-001,2024-05-19,12422.1,97.0,7.6,,4.1,,
WT-001,2024-05-20,3893.1,95.6,5.5,,6.2,,
WT-001,2024-05-21,27563.6,92.9,9.8,,3.5,,
WT-001,2024-05-22,1746.1,98.4,4.7,,22.9,,
WT-001,2024-05-23,4660.5,94.9,5.8,,36.6,,
WT-001,2024-05-24,20801.9,98.0,8.8,,6.9,,
WT-001,2024-05-25,17242.3,87.8,8.6,,23.7,,
WT-001,2024-05-26,1852.4,95.7,4.8,,21.2,,
WT-001,2024-05-27,8782.0,91.0,7.0,,18.4,,
WT-001,2024-05-28,25819.8,96.8,9.6,,26.6,,
WT-001,2024-05-29,1503.7,91.4,4.6,,22.4,,
WT-001,2024-05-30,15022.7,94.2,7.9,,3.2,,
WT-001,2024-05-31,7115.2,94.0,6.5,,34.0,,
WT-001,2024-06-01,4754.9,97.8,5.8,,17.3,,
WT-001,2024-06-02,1484.9,89.2,4.6,,15.4,,
WT-001,2024-06-03,678.7,92.9,4.1,,30.1,,
WT-001,2024-06-04,2062.9,95.2,4.9,,42.0,,
WT-001,2024-06-05,15798.0,98.7,8.2,,-0.4,,
WT-001,2024-06-06,12972.2,97.5,7.7,,31.5,,
WT-001,2024-06-07,94.6,91.7,3.4,,26.0,,
WT-001,2024-06-08,4564.6,100,5.7,,11.1,,
WT-001,2024-06-09,5810.1,96.7,6.0,,11.3,,
WT-001,2024-06-10,5603.1,98.4,6.0,,43.2,,
WT-001,2024-06-11,4248.3,95.0,5.6,,38.7,,
WT-001,2024-06-12,17172.4,89.4,8.6,,22.1,,
WT-001,2024-06-13,1715.7,87.2,4.8,,32.5,,
WT-001,2024-06-14,9604.8,95.2,7.0,,24.8,,
WT-001,2024-06-15,52073.0,100,12.8,,11.5,,
WT-001,2024-06-16,4042.0,100,5.5,,33.5,,
WT-001,2024-06-18,20233.4,94.8,8.8,,44.3,,
WT-001,2024-06-19,12586.5,96.9,7.6,,33.4,,
WT-001,2024-06-20,8474.9,82.7,7.0,,38.2,E-5002,Main circuit breaker trip — overvoltage protection activated
WT-001,2024-06-21,16344.7,95.0,8.2,,28.2,,
WT-001,2024-06-22,24149.1,99.2,9.1,,16.9,,
WT-001,2024-06-23,8456.0,94.3,6.8,,7.2,,
WT-001,2024-06-24,18498.0,95.3,8.7,,39.0,,
WT-001,2024-06-25,12715.6,97.4,7.6,,7.0,,
WT-001,2024-06-26,89.1,92.8,3.4,,22.3,,
WT-001,2024-06-27,13809.8,95.5,7.7,,29.3,,
WT-001,2024-06-28,2767.1,96.6,5.2,,8.7,,
WT-001,2024-06-29,8751.2,94.2,6.8,,18.1,,
WT-001,2024-06-30,25527.5,86.9,9.9,,32.5,,
WT-002,2024-01-01,11278.4,99.6,7.0,,8.5,,
WT-002,2024-01-02,37441.2,96.2,10.5,,8.0,,
WT-002,2024-01-03,7819.7,96.9,6.4,,2.3,,
WT-002,2024-01-04,35544.1,92.2,10.2,,3.3,,
WT-002,2024-01-05,13559.4,65.0,8.5,,5.6,E-5001,Transformer oil temperature warning — 85°C threshold reached
WT-002,2024-01-06,19183.1,92.7,8.3,,7.9,,
WT-002,2024-01-07,48875.9,93.9,11.3,,2.1,,
WT-002,2024-01-08,20092.2,95.0,8.3,,7.2,,
WT-002,2024-01-09,16617.1,94.0,8.0,,-4.5,,
WT-002,2024-01-10,53910.2,93.2,11.7,,5.7,,
WT-002,2024-01-11,22394.1,95.5,8.6,,7.2,,
WT-002,2024-01-12,16790.6,87.9,8.0,,3.8,,
WT-002,2024-01-13,11097.0,90.3,7.1,,7.2,,
WT-002,2024-01-14,39058.9,99.4,10.4,,6.3,,
WT-002,2024-01-15,22509.3,94.0,8.8,,10.7,,
WT-002,2024-01-16,30376.2,95.6,9.4,,4.5,,
WT-002,2024-01-17,22940.3,92.1,8.7,,6.5,,
WT-002,2024-01-18,7839.3,88.0,6.6,,8.5,,
WT-002,2024-01-19,40146.1,97.7,10.4,,1.3,,
WT-002,2024-01-20,56567.0,95.0,13.4,,10.1,,
WT-002,2024-01-21,11045.5,94.1,7.1,,7.3,,
WT-002,2024-01-22,23778.0,89.7,9.0,,1.8,,
WT-002,2024-01-23,57595.7,96.4,12.2,,2.4,,
WT-002,2024-01-24,8756.9,90.1,6.7,,5.7,,
WT-002,2024-01-25,35978.8,90.0,10.5,,6.6,,
WT-002,2024-01-26,31744.4,96.4,9.8,,9.8,,
WT-002,2024-01-27,49344.4,87.7,12.9,,2.8,,
WT-002,2024-01-28,45103.3,94.7,11.3,,8.0,,
WT-002,2024-01-29,20038.6,93.2,8.3,,7.1,,
WT-002,2024-01-30,44623.7,95.3,11.0,,1.9,,
WT-002,2024-01-31,56940.6,96.2,14.2,,7.8,,
WT-002,2024-02-01,27639.1,87.8,9.5,,7.0,,
WT-002,2024-02-02,45165.2,92.0,11.0,,5.8,,
WT-002,2024-02-03,7897.0,92.9,6.4,,5.6,,
WT-002,2024-02-04,34122.8,92.2,9.9,,5.9,,
WT-002,2024-02-05,24922.0,95.9,8.8,,3.4,,
WT-002,2024-02-06,12597.6,94.8,7.4,,9.0,,
WT-002,2024-02-07,42935.3,91.7,11.1,,3.9,,
WT-002,2024-02-08,54528.3,94.7,13.0,,3.0,,
WT-002,2024-02-09,54051.3,93.0,13.0,,13.5,,
WT-002,2024-02-10,9460.1,91.9,6.7,,6.4,,
WT-002,2024-02-11,28166.5,96.2,9.3,,0.2,,
WT-002,2024-02-12,48325.7,99.3,11.1,,7.9,,
WT-002,2024-02-13,22222.6,96.6,8.8,,6.1,,
WT-002,2024-02-14,24980.6,91.7,9.0,,13.6,,
WT-002,2024-02-15,15860.4,96.5,7.8,,8.7,,
WT-002,2024-02-16,29641.8,97.0,9.3,,4.8,,
WT-002,2024-02-17,46799.3,91.7,11.3,,2.1,,
WT-002,2024-02-18,21287.3,94.1,8.4,,5.8,,
WT-002,2024-02-19,49833.2,93.7,11.3,,10.0,,
WT-002,2024-02-20,56124.9,98.6,11.9,,13.8,,
WT-002,2024-02-21,28102.6,94.3,9.3,,9.8,,
WT-002,2024-02-22,31175.5,99.0,9.7,,-1.9,,
WT-002,2024-02-23,20240.8,91.5,8.6,,3.3,,
WT-002,2024-02-24,26960.2,94.1,9.3,,6.4,,
WT-002,2024-02-26,25507.2,98.2,8.8,,5.0,,
WT-002,2024-02-27,50307.8,100,11.4,,1.6,,
WT-002,2024-02-28,7527.2,89.5,6.3,,5.4,,
WT-002,2024-02-29,42722.1,93.5,10.7,,10.6,,
WT-002,2024-03-01,23037.7,90.4,9.4,,6.8,E-1002,Rotor imbalance detected — blade pitch deviation >2°
WT-002,2024-03-02,16903.2,91.7,7.9,,14.2,,
WT-002,2024-03-03,46155.7,92.2,11.2,,17.7,,
WT-002,2024-03-05,21972.1,100,8.6,,3.7,,
WT-002,2024-03-06,13646.2,93.3,7.6,,14.8,,
WT-002,2024-03-07,30597.3,94.8,9.7,,5.6,,
WT-002,2024-03-08,32518.5,92.6,10.0,,7.9,,
WT-002,2024-03-09,20048.7,95.4,8.3,,20.2,,
WT-002,2024-03-10,13017.4,89.6,7.5,,-0.4,,
WT-002,2024-03-11,13726.0,95.5,7.3,,3.7,,
WT-002,2024-03-12,55521.8,97.1,11.7,,-0.1,,
WT-002,2024-03-13,32609.5,90.8,10.0,,1.7,,
WT-002,2024-03-14,57591.0,96.9,12.9,,7.6,,
WT-002,2024-03-15,9432.7,96.9,6.6,,-2.2,,
WT-002,2024-03-16,32229.4,97.5,9.7,,14.1,,
WT-002,2024-03-17,26837.1,95.7,9.3,,13.7,,
WT-002,2024-03-18,27230.1,93.7,9.5,,3.1,,
WT-002,2024-03-19,15388.4,95.5,7.8,,15.1,,
WT-002,2024-03-20,48168.5,89.8,11.6,,18.2,,
WT-002,2024-03-21,61698.7,99.4,14.0,,17.3,,
WT-002,2024-03-22,58859.7,93.6,12.4,,11.6,,
WT-002,2024-03-23,53740.3,94.5,11.7,,4.9,,
WT-002,2024-03-24,39329.0,96.3,10.3,,12.8,,
WT-002,2024-03-25,17549.5,90.9,8.0,,13.0,,
WT-002,2024-03-26,20879.8,90.1,8.5,,12.6,,
WT-002,2024-03-27,12255.6,96.6,7.1,,10.3,,
WT-002,2024-03-28,21295.6,99.0,8.4,,6.1,,
WT-002,2024-03-29,35929.5,100,9.8,,4.1,,
WT-002,2024-03-30,24233.0,90.2,9.2,,4.8,,
WT-002,2024-03-31,47977.1,95.9,11.2,,4.8,,
WT-002,2024-04-01,36878.7,94.3,10.3,,18.9,,
WT-002,2024-04-02,26966.1,93.5,9.3,,21.7,,
WT-002,2024-04-03,27163.5,92.9,9.4,,18.0,,
WT-002,2024-04-04,11369.2,98.1,6.9,,21.4,,
WT-002,2024-04-05,28393.9,100,9.2,,20.4,,
WT-002,2024-04-06,31927.8,100,9.7,,18.6,,
WT-002,2024-04-07,17548.3,94.9,7.9,,0.6,,
WT-002,2024-04-08,13334.8,96.6,7.4,,12.2,,
WT-002,2024-04-09,39981.1,90.4,10.8,,26.8,,
WT-002,2024-04-10,21690.2,91.9,8.8,,13.1,,
WT-002,2024-04-11,28210.4,99.4,9.2,,15.0,,
WT-002,2024-04-12,26708.5,97.4,9.1,,14.3,,
WT-002,2024-04-13,48172.5,95.3,11.2,,4.8,,
WT-002,2024-04-14,18618.2,91.8,8.4,,9.1,,
WT-002,2024-04-15,21236.7,99.1,8.3,,11.4,,
WT-002,2024-04-16,22243.1,95.1,8.8,,12.0,,
WT-002,2024-04-17,18139.1,93.8,8.1,,14.8,,
WT-002,2024-04-18,20207.5,94.5,8.4,,12.8,,
WT-002,2024-04-19,23718.7,94.1,8.8,,23.2,,
WT-002,2024-04-20,41206.7,100,10.5,,14.6,,
WT-002,2024-04-21,52133.4,95.4,11.4,,10.9,,
WT-002,2024-04-22,18269.6,92.2,8.1,,35.6,,
WT-002,2024-04-23,49636.4,92.2,11.6,,18.4,,
WT-002,2024-04-24,59314.0,98.4,12.0,,3.2,,
WT-002,2024-04-25,60535.9,97.2,13.4,,11.2,,
WT-002,2024-04-26,18699.7,100,8.0,,12.1,,
WT-002,2024-04-27,43939.0,95.4,11.1,,12.9,,
WT-002,2024-04-28,36009.4,87.7,10.6,,4.5,,
WT-002,2024-04-29,14617.2,91.7,7.6,,12.0,,
WT-002,2024-04-30,50495.9,97.7,11.5,,18.8,,
WT-002,2024-05-01,19907.9,91.4,8.3,,9.0,,
WT-002,2024-05-02,16069.1,91.3,8.0,,8.7,,
WT-002,2024-05-03,9790.8,90.6,6.9,,30.4,,
WT-002,2024-05-04,13783.4,98.4,7.3,,24.0,,
WT-002,2024-05-05,27714.9,98.6,9.1,,14.2,,
WT-002,2024-05-06,3430.3,96.9,5.2,,21.8,,
WT-002,2024-05-07,16482.6,96.5,8.0,,-2.1,,
WT-002,2024-05-08,11844.3,90.6,7.1,,18.8,,
WT-002,2024-05-09,31384.4,94.7,9.9,,26.4,,
WT-002,2024-05-10,8286.5,100,6.4,,33.8,,
WT-002,2024-05-11,7355.1,93.2,6.4,,19.7,,
WT-002,2024-05-12,1850.9,99.8,4.6,,0.6,,
WT-002,2024-05-13,26059.9,93.5,9.1,,31.6,,
WT-002,2024-05-14,7003.4,96.8,6.1,,-0.1,,
WT-002,2024-05-15,242.2,93.8,3.6,,36.1,,
WT-002,2024-05-16,24160.4,95.0,8.8,,34.7,,
WT-002,2024-05-17,16683.6,96.9,8.0,,-0.5,,
WT-002,2024-05-18,10617.0,93.3,7.0,,18.1,,
WT-002,2024-05-19,21703.8,90.5,8.7,,22.6,,
WT-002,2024-05-20,22027.1,92.3,8.9,,34.1,,
WT-002,2024-05-21,10350.9,96.4,6.9,,15.6,,
WT-002,2024-05-22,4283.7,92.1,5.5,,1.8,,
WT-002,2024-05-23,61.0,96.3,3.3,,21.1,,
WT-002,2024-05-24,10650.6,92.7,7.0,,2.9,,
WT-002,2024-05-25,19019.8,99.0,8.2,,18.0,,
WT-002,2024-05-26,23991.2,90.1,9.1,,8.1,,
WT-002,2024-05-27,39576.6,99.6,10.4,,27.8,,
WT-002,2024-05-28,13055.0,94.3,7.4,,32.6,,
WT-002,2024-05-29,29908.8,90.6,9.8,,16.9,,
WT-002,2024-05-30,17755.4,90.3,8.3,,12.5,,
WT-002,2024-05-31,4895.7,91.5,5.8,,21.6,,
WT-002,2024-06-01,3781.6,89.0,5.4,,25.9,,
WT-002,2024-06-02,721.2,98.9,4.0,,33.2,,
WT-002,2024-06-03,2184.8,97.3,4.8,,13.2,,
WT-002,2024-06-04,18738.4,97.5,8.1,,-4.6,,
WT-002,2024-06-05,8026.2,96.7,6.4,,28.9,,
WT-002,2024-06-06,16103.7,91.4,7.9,,27.8,,
WT-002,2024-06-07,10462.3,96.9,6.9,,30.3,,
WT-002,2024-06-08,32966.2,98.8,9.9,,17.1,,
WT-002,2024-06-09,3251.5,92.1,5.2,,18.0,,
WT-002,2024-06-10,1108.2,95.7,4.3,,13.0,,
WT-002,2024-06-11,10424.5,90.6,6.9,,6.7,,
WT-002,2024-06-12,7189.4,84.7,6.4,,11.3,,
WT-002,2024-06-13,3057.7,95.9,5.1,,19.7,,
WT-002,2024-06-14,186.9,97.7,3.5,,23.2,,
WT-002,2024-06-15,25947.9,99.3,9.1,,19.8,,
WT-002,2024-06-16,61.8,90.6,3.3,,28.6,,
WT-002,2024-06-17,834.0,93.2,4.1,,37.9,,
WT-002,2024-06-18,51175.7,99.0,11.2,,17.0,,
WT-002,2024-06-19,7266.6,91.4,6.4,,18.2,,
WT-002,2024-06-20,27148.0,96.9,9.3,,29.8,,
WT-002,2024-06-21,19100.8,98.9,8.1,,17.9,,
WT-002,2024-06-22,10275.5,90.2,6.9,,32.9,,
WT-002,2024-06-23,357.6,95.3,3.7,,24.4,,
WT-002,2024-06-24,5132.8,92.8,5.7,,-1.1,,
WT-002,2024-06-25,12619.1,91.4,7.4,,18.1,,
WT-002,2024-06-26,21707.2,68.1,8.8,,-3.7,E-5001,Transformer oil temperature warning — 85°C threshold reached
WT-002,2024-06-27,0,97.9,0.5,,47.9,,
WT-002,2024-06-28,7525.2,100,6.3,,3.6,,
WT-002,2024-06-29,2247.0,90.6,4.9,,7.5,,
WT-002,2024-06-30,818.7,96.3,4.1,,24.2,,
WT-003,2024-01-01,13304.0,94.5,7.3,,4.7,,
WT-003,2024-01-02,37962.4,92.5,10.3,,5.9,,
WT-003,2024-01-03,21888.2,97.2,8.3,,8.1,,
WT-003,2024-01-04,5968.2,99.1,5.7,,7.3,,
WT-003,2024-01-05,44550.8,100,10.2,,3.0,,
WT-003,2024-01-06,20156.6,96.1,8.0,,6.9,,
WT-003,2024-01-07,35454.2,92.4,9.8,,5.6,,
WT-003,2024-01-08,66079.8,95.8,12.2,,5.3,,
WT-003,2024-01-09,21906.9,93.6,8.4,,2.2,,
WT-003,2024-01-10,10555.9,93.0,6.7,,7.2,,
WT-003,2024-01-11,52163.5,95.3,11.3,,1.0,,
WT-003,2024-01-12,66450.0,96.8,11.9,,8.8,,
WT-003,2024-01-13,49792.4,95.2,10.8,,8.7,,
WT-003,2024-01-14,25794.9,95.4,8.8,,2.3,,
WT-003,2024-01-15,35222.0,96.2,9.9,,13.2,,
WT-003,2024-01-16,11354.3,89.9,6.9,,2.8,,
WT-003,2024-01-17,2789.9,98.3,4.9,,5.9,,
WT-003,2024-01-18,67264.1,99.9,14.0,,7.2,,
WT-003,2024-01-20,58877.3,95.3,11.8,,-0.3,,
WT-003,2024-01-21,28704.0,95.0,9.0,,-0.9,,
WT-003,2024-01-22,23390.0,98.2,8.4,,4.9,,
WT-003,2024-01-23,64800.6,93.8,14.9,,5.5,,
WT-003,2024-01-24,28279.9,66.1,10.1,,9.5,E-1001,Gearbox overheating — coolant flow below threshold
WT-003,2024-01-25,62938.4,99.8,11.6,,11.6,,
WT-003,2024-01-26,28844.2,91.4,9.3,,1.2,,
WT-003,2024-01-27,51813.7,92.1,11.1,,8.3,,
WT-003,2024-01-28,58471.0,94.0,14.4,,3.1,,
WT-003,2024-01-29,34211.4,94.6,9.8,,5.5,,
WT-003,2024-01-30,17525.7,92.3,7.8,,0.1,,
WT-003,2024-01-31,31567.1,95.2,9.6,,3.2,,
WT-003,2024-02-01,18087.6,100,7.6,,6.9,,
WT-003,2024-02-02,34788.1,94.8,9.7,,4.9,,
WT-003,2024-02-03,67391.2,99.4,16.1,,14.0,,
WT-003,2024-02-04,65881.3,94.0,12.2,,3.2,,
WT-003,2024-02-05,62130.1,99.8,12.2,,3.0,,
WT-003,2024-02-06,27937.5,94.8,8.9,,10.1,,
WT-003,2024-02-07,27883.2,97.5,9.1,,8.7,,
WT-003,2024-02-08,63187.6,97.0,13.1,,10.4,,
WT-003,2024-02-09,40043.5,97.9,10.2,,8.4,,
WT-003,2024-02-10,46514.0,94.7,10.6,,5.7,,
WT-003,2024-02-11,37077.4,98.3,9.8,,5.4,,
WT-003,2024-02-12,22510.7,91.8,8.4,,9.1,,
WT-003,2024-02-13,35791.8,93.2,10.1,,12.0,,
WT-003,2024-02-14,2462.8,91.6,4.8,,10.6,,
WT-003,2024-02-15,34456.1,94.3,9.9,,10.1,,
WT-003,2024-02-16,22334.9,96.5,8.5,,3.7,,
WT-003,2024-02-17,8549.2,92.1,6.4,,12.5,,
WT-003,2024-02-18,33940.8,81.0,10.3,,9.6,E-2001,SCADA communication timeout — data gap logged
WT-003,2024-02-19,26567.5,95.2,8.9,,1.9,,
WT-003,2024-02-20,49736.1,99.4,11.1,,6.5,,
WT-003,2024-02-21,8320.1,95.8,6.3,,3.6,,
WT-003,2024-02-22,28776.2,94.3,9.0,,6.2,,
WT-003,2024-02-23,18897.5,95.6,7.9,,7.0,,
WT-003,2024-02-24,46591.0,88.9,10.9,,5.3,,
WT-003,2024-02-25,2096.0,90.4,4.7,,17.6,,
WT-003,2024-02-26,13681.8,92.6,7.3,,12.5,,
WT-003,2024-02-27,20684.1,98.6,8.2,,13.7,,
WT-003,2024-02-28,21487.4,92.9,8.5,,6.1,,
WT-003,2024-02-29,61588.8,95.5,12.0,,1.5,,
WT-003,2024-03-01,12544.1,97.3,7.1,,-0.9,,
WT-003,2024-03-02,39665.6,96.3,10.1,,8.4,,
WT-003,2024-03-03,35964.6,92.3,10.0,,7.2,,
WT-003,2024-03-04,11374.3,96.9,6.8,,6.2,,
WT-003,2024-03-05,62341.8,92.5,12.3,,6.4,,
WT-003,2024-03-06,28499.0,92.1,9.3,,18.5,,
